studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,Block,entryType,Grain.test.weight...g.l.CO_321.0001210,Grain.yield...kg.ha.CO_321.0001218,Plant.height...cm.CO_321.0001301
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456031,WI13OWW-47.04,plot,1457413,OWW_2020_MAD_PLOT13601,1,1,13601,1,1,1,test,,4274.51,110
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456012,WI13OWW-174.01,plot,1457332,OWW_2020_MAD_PLOT13602,1,1,13602,1,2,1,test,79.3,4156.86,90
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456013,WI13OWW-140.05,plot,1457422,OWW_2020_MAD_PLOT13603,1,1,13603,1,3,1,test,,3686.27,100
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456795,GUA,plot,1457443,OWW_2020_MAD_PLOT13604,1,1,13604,1,4,1,test,74.7,5539.22,115
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",920401,CLARKS_CREAM,plot,1457357,OWW_2020_MAD_PLOT13605,1,1,13605,1,5,1,test,75.7,4970.59,125
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",238239,ARS10-028,plot,1457358,OWW_2020_MAD_PLOT13606,1,2,13606,1,6,2,test,77.6,4460.78,82
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456023,WI13OWW-11.03,plot,1457382,OWW_2020_MAD_PLOT13607,1,2,13607,1,7,2,test,77.3,4549.02,123
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456796,15NORD-39,plot,1457411,OWW_2020_MAD_PLOT13608,1,2,13608,1,8,2,test,,4088.24,105
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456046,WI13OWW-183.05,plot,1457417,OWW_2020_MAD_PLOT13609,1,2,13609,1,9,2,test,76.2,4186.27,105
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",227974,NI12702W,plot,1457399,OWW_2020_MAD_PLOT13610,1,2,13610,1,10,2,test,,2431.37,86
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456051,WI13OWW-202.07,plot,1457348,OWW_2020_MAD_PLOT13620,1,4,13620,2,1,1,test,76,5196.08,110
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456051,WI13OWW-202.07,plot,1457393,OWW_2020_MAD_PLOT13619,1,4,13619,2,2,1,test,75.1,4431.37,87
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456033,WI13OWW-7.02,plot,1457376,OWW_2020_MAD_PLOT13618,1,4,13618,2,3,1,test,75.7,3764.71,96
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456792,REDEEMER,plot,1457349,OWW_2020_MAD_PLOT13617,1,4,13617,2,4,1,test,78.2,5049.02,118
