"Trait","Method","Dif_AIC"
"Grain_Yield","Block+Spatial",0.598796856926
"Plant_height","Block+Spatial",0.32388233624701
"Test_weight","Block+Spatial",-0.00709048071300344
"Powdery_mildew","Block+Spatial",-5.90359501018156e-06
"Grain_Yield","Block+Spatial",1.45362170659
"Plant_height","Block+Spatial",0.073389468209001
"Test_weight","Block+Spatial",-4.32671580057331e-05
"Powdery_mildew","Block+Spatial",1.93431814575601
"Grain_Yield","Block+Spatial",5.84310875808802
"Plant_height","Block+Spatial",2.72799131959096
"Test_weight","Block+Spatial",6.363622999538
"Powdery_mildew","Block+Spatial",1.90834535309898
"Grain_Yield","Block+Spatial",77.63226269713
"Plant_height","Block+Spatial",9.76590077465599
"Test_weight","Block+Spatial",0.0452006923710258
"Grain_Yield","Block+Spatial",0.0452006923710258
"Plant_height","Block+Spatial",-5.44844871827399
"Test_weight","Block+Spatial",0.107120045551994
"Grain_Yield","Block+Spatial",-3.99273005768919e-07
"Plant_height","Block+Spatial",6.06590601108999
"Test_weight","Block+Spatial",0.56283145504301
"Grain_Yield","Block+Spatial",21.441059485908
"Plant_height","Block+Spatial",8.52198152691705
"Test_weight","Block+Spatial",8.04386056642102
"Powdery_mildew","Block+Spatial",8.04386056642102
"Grain_Yield","Block+Spatial",33.237914779902
"Plant_height","Block+Spatial",10.426104923734
"Test_weight","Block+Spatial",8.333141905866
"Powdery_mildew","Block+Spatial",8.333141905866
"Grain_Yield","Block+Spatial",39.273121083692
"Plant_height","Block+Spatial",3.05155436413997
"Test_weight","Block+Spatial",9.38180168303398
"Powdery_mildew","Block+Spatial",75.88958591835
"Grain_Yield","Block+Spatial",64.395669900831
"Plant_height","Block+Spatial",34.597429047963
"Test_weight","Block+Spatial",0.536345499822005
"Grain_Yield","Block+Spatial",103.831461276952
"Plant_height","Block+Spatial",25.999028136051
"Test_weight","Block+Spatial",1.23093380028502
"Powdery_mildew","Block+Spatial",1.23093380028502
"Grain_Yield","Block+Spatial",21.541373642904
"Plant_height","Block+Spatial",47.062726236294
"Test_weight","Block+Spatial",0.23194528743602
"Powdery_mildew","Block+Spatial",10.656985015121
"Grain_Yield","Block+Spatial",8.11468646061104
"Plant_height","Block+Spatial",0.161841342972991
"Test_weight","Block+Spatial",10.311218207399
"Grain_Yield","Block+Spatial",1.88348938250601
"Plant_height","Block+Spatial",1.20011401349984e-06
"Test_weight","Block+Spatial",0.0822316107160077
"Powdery_mildew","Block+Spatial",8.31262695682301
"Grain_Yield","Block+Spatial",1.21699997635005e-07
"Plant_height","Block+Spatial",77.774770204528
"Test_weight","Block+Spatial",95.935300651737
"Grain_Yield","Block+Spatial",5.48709433120601
"Plant_height","Block+Spatial",0.500536480932027
"Grain_Yield","Block+Spatial",0.349720184537006
"Plant_height","Block+Spatial",3.197528333099
"Grain_Yield","Block+Spatial",18.243741493772
"Plant_height","Block+Spatial",4.824908216469
"Strip_rust_resp","Block+Spatial",0.477102492266994
"Strip_rust_sever","Block+Spatial",2.96180820154802
"Grain_Yield","Block+Spatial",2.277408715143
"Plant_height","Block+Spatial",0.594866279210976
"Strip_rust_resp","Block+Spatial",0.0769318667950074
"Strip_rust_sever","Block+Spatial",4.76928627879002
"Grain_Yield","Block+Spatial",29.532907581467
"Plant_height","Block+Spatial",0.151063986697011
"Grain_Yield","Block+Spatial",17.575856315014
"Plant_height","Block+Spatial",0.850506012126999
"Grain_Yield","Block+Spatial",267.06665551124
"Test_weight","Block+Spatial",17.952745730194
"Grain_Yield","Block+Spatial",159.418559960277
"Test_weight","Block+Spatial",0.570944057084006
"Grain_Yield","Block+Spatial",528.840967042122
"Test_weight","Block+Spatial",59.084600696139
"Grain_Yield","Block+Spatial",414.20213356878
"Test_weight","Block+Spatial",170.214869052032
"Grain_Yield","Block+Spatial",613.294240383582
"Test_weight","Block+Spatial",84.43983033986
"Grain_Yield","Block+Spatial",626.791112667617
"Test_weight","Block+Spatial",81.232934735885
"Grain_Yield","Block+Spatial",14.536701486564
"Plant_height","Block+Spatial",3.45963597628503
"Bacterial_streak","Block+Spatial",43.869164658547
"Grain_Yield","Block+Spatial",35.86978802947
"Plant_height","Block+Spatial",3.63689945907299
"Test_weight","Block+Spatial",17.735684829337
"Bacterial_streak","Block+Spatial",2.97812118628502
"Grain_Yield","Block+Spatial",16.267383652823
"Plant_height","Block+Spatial",32.062897405652
"Bacterial_streak","Block+Spatial",28.85812571617
"Grain_Yield","Block+Spatial",138.131116934272
"Plant_height","Block+Spatial",61.206039921693
"Test_weight","Block+Spatial",26.202342452739
"Grain_Yield","Block+Spatial",5.744901134803
"Plant_height","Block+Spatial",8.58025803202
"Test_weight","Block+Spatial",28.663570532861
"Grain_Yield","Block+Spatial",25.241501721412
"Plant_height","Block+Spatial",0.335013828624028
"Test_weight","Block+Spatial",41.185638017904
"Grain_Yield","Block+Spatial",3.75492218136799
"Plant_height","Block+Spatial",3.07879898418801
"Grain_Yield","Block+Spatial",10.6677405331365
"Plant_height","Block+Spatial",4.41049866696079
"Test_weight","Block+Spatial",12.7740455187357
"Grain_Yield","Block+Spatial",4.1383042413765
"Plant_height","Block+Spatial",1.2657240166683
"Test_weight","Block+Spatial",0.480248084236102
"Grain_Yield","Block+Spatial",6.85167870528858e-06
"Plant_height","Block+Spatial",6.63438879655587e-06
"Test_weight","Block+Spatial",0.721472595882702
"Grain_Yield","Block+Spatial",-27.1190200486188
"Plant_height","Block+Spatial",0.761343308971
"Test_weight","Block+Spatial",-0.1377225962359
"Grain_Yield","Block+Spatial",-0.0383629876487959
"Plant_height","Block+Spatial",0.631795724024798
"Test_weight","Block+Spatial",0.1475788278834
"Grain_Yield","Block+Spatial",121.757670141771
"Plant_height","Block+Spatial",50.8917616862647
"Test_weight","Block+Spatial",4.46066845854801
"Grain_Yield","Block+Spatial",45.7964067877037
"Plant_height","Block+Spatial",18.2437160927116
"Test_weight","Block+Spatial",8.76084001788513e-07
"Grain_Yield","Block+Spatial",60.529702031527
"Plant_height","Block+Spatial",48.176734453465
"Test_weight","Block+Spatial",8.38753199043998
"Grain_Yield","Block+Spatial",318.059820586201
"Plant_height","Block+Spatial",32.863408977853
"Test_weight","Block+Spatial",0.797898184480005
"Grain_Yield","Block+Spatial",315.469688213915
"Plant_height","Block+Spatial",59.9536929935907
"Test_weight","Block+Spatial",2.763982795571
"Grain_Yield","Block+Spatial",0.00355281492579707
"Plant_height","Block+Spatial",1.18275516030053e-05
"Test_weight","Block+Spatial",1.11560900961649e-07
"Grain_Yield","Block+Spatial",10.698924217275
"Plant_height","Block+Spatial",1.4826855218553
"Test_weight","Block+Spatial",9.97788987433523e-07
"Grain_Yield","Block+Spatial",1.45621720548661e-06
"Plant_height","Block+Spatial",-1.90880739658894e-07
"Test_weight","Block+Spatial",-0.000494524676994956
"Grain_Yield","Block+Spatial",12.7963188028449
"Plant_height","Block+Spatial",1.6275158633254
"Test_weight","Block+Spatial",2.4806740733539
"Grain_Yield","Block+Spatial",1.2391265559677
"Plant_height","Block+Spatial",2.28868765639709
"Test_weight","Block+Spatial",0.253879429726894
"Grain_Yield","Block+Spatial",0.593540358130298
"Plant_height","Block+Spatial",0.132206777256599
"Test_weight","Block+Spatial",0.822298132544901
"Grain_Yield","Block+Spatial",18.044009164812
"Plant_height","Block+Spatial",26.790992922514
"Test_weight","Block+Spatial",33.9045166628895
"Grain_Yield","Block+Spatial",12.573616371373
"Plant_height","Block+Spatial",5.25354154193201
"Test_weight","Block+Spatial",5.818755751391
"Grain_Yield","Block+Spatial",29.7863949490324
"Plant_height","Block+Spatial",13.5862563172406
"Test_weight","Block+Spatial",13.4489002027339
"Grain_Yield","Block+Spatial",18.3789005553711
"Plant_height","Block+Spatial",4.07999288231321
"Test_weight","Block+Spatial",10.784804000839
"Grain_Yield","Block+Spatial",-2.46333013986799e-05
"Plant_height","Block+Spatial",2.55039080165886e-06
"Test_weight","Block+Spatial",-0.298925631030199
"Grain_Yield","Block+Spatial",-3.71375303842569e-08
"Plant_height","Block+Spatial",2.98390870234755e-07
"Test_weight","Block+Spatial",-3.25713699567132e-07
"Grain_Yield","Block+Spatial",-5.95079541199084e-14
"Plant_height","Block+Spatial",-5.95079541199084e-14
"Test_weight","Block+Spatial",-5.95079541199084e-14
"Grain_Yield","Block+Spatial",19.2488338616961
"Plant_height","Block+Spatial",5.9126103756612
"Test_weight","Block+Spatial",2.0460156274473
"Grain_Yield","Block+Spatial",6.3978644197097
"Plant_height","Block+Spatial",1.8229857560409
"Grain_Yield","Block+Spatial",1.7569647905272
"Plant_height","Block+Spatial",1.52086510496474e-06
"Test_weight","Block+Spatial",7.2156885638619
"Grain_Yield","Block+Spatial",1.9953295762221
"Plant_height","Block+Spatial",6.970979979999
"Test_weight","Block+Spatial",0.00307188288334004
"Grain_Yield","Block+Spatial",138.455186319903
"Plant_height","Block+Spatial",102.416262283786
"Test_weight","Block+Spatial",15.673160925179
"Grain_Yield","Block+Spatial",83.8583012194399
"Plant_height","Block+Spatial",40.7145336426499
"Test_weight","Block+Spatial",104.07655202125
"Grain_Yield","Block+Spatial",8.471591351771
"Plant_height","Block+Spatial",6.26041895657181e-07
"Grain_Yield","Block+Spatial",29.642600524747
"Plant_height","Block+Spatial",64.088173702235
"Test_weight","Block+Spatial",4.19621895515797
"Grain_Yield","Block+Spatial",17.022584747277
"Plant_height","Block+Spatial",8.56295209334098
"Grain_Yield","Block+Spatial",18.346837222073
"Plant_height","Block+Spatial",5.75297214151701
"Test_weight","Block+Spatial",4.46536918382699
"Grain_Yield","Block+Spatial",16.9049109342794
"Plant_height","Block+Spatial",10.307743068956
"Test_weight","Block+Spatial",15.5186684345429
"Grain_Yield","Block+Spatial",17.595683047187
"Plant_height","Block+Spatial",26.5392368255821
"Test_weight","Block+Spatial",2.16424914522202
"Grain_Yield","Block+Spatial",19.7474050377521
"Plant_height","Block+Spatial",16.516198658102
"Test_weight","Block+Spatial",0.167815544781092
"Grain_Yield","Block+Spatial",39.335803426893
"Plant_height","Block+Spatial",46.522579849724
"Test_weight","Block+Spatial",13.085500309732
"Grain_Yield","Block+Spatial",42.17152934621
"Plant_height","Block+Spatial",53.092924790043
"Test_weight","Block+Spatial",2.0964213630933
"Grain_Yield","Block+Spatial",173.947238026431
"Plant_height","Block+Spatial",125.936323022724
"Test_weight","Block+Spatial",53.289323239442
"Grain_Yield","Block+Spatial",46.914550209705
"Plant_height","Block+Spatial",0.0553695834339862
"Test_weight","Block+Spatial",32.311126501339
"Grain_Yield","Block+Spatial",69.675644672251
"Plant_height","Block+Spatial",8.15600742498646e-09
"Test_weight","Block+Spatial",36.525646741588
"Grain_Yield","Block+Spatial",38.011101337963
"Plant_height","Block+Spatial",6.24230940869998
"Test_weight","Block+Spatial",41.099359647078
"Grain_Yield","Block+Spatial",10.250504344532
"Plant_height","Block+Spatial",0.00279356075401438
"Test_weight","Block+Spatial",18.766069309759
"Grain_Yield","Block+Spatial",14.437087016895
"Plant_height","Block+Spatial",19.6605997180132
"Test_weight","Block+Spatial",3.1212676219903
"Grain_Yield","Block+Spatial",2.41368979914114e-07
"Plant_height","Block+Spatial",0.596605551880032
"Test_weight","Block+Spatial",23.630777784316
"Grain_Yield","Block+Spatial",27.129167628551
"Plant_height","Block+Spatial",10.287706782471
"Test_weight","Block+Spatial",24.997623147876
"Grain_Yield","Block+Spatial",0.00282529292101685
"Plant_height","Block+Spatial",5.07285323017099
"Test_weight","Block+Spatial",1.89899935776339e-08
"Grain_Yield","Block+Spatial",0.541202508517983
"Plant_height","Block+Spatial",8.4641110049688e-06
"Test_weight","Block+Spatial",1.74146975950862e-07
"Grain_Yield","Block+Spatial",12.134650404521
"Plant_height","Block+Spatial",2.00594258744999
"Test_weight","Block+Spatial",3.41638121544099
"Grain_Yield","Block+Spatial",13.5193238024767
"Plant_height","Block+Spatial",4.8430207389751
"Test_weight","Block+Spatial",11.3883671343557
"Grain_Yield","Block+Spatial",10.2961872385595
"Plant_height","Block+Spatial",1.77630318503681
"Test_weight","Block+Spatial",7.5525722718835
"Grain_Yield","Block+Spatial",14.7548958272668
"Plant_height","Block+Spatial",21.78121147364
"Test_weight","Block+Spatial",31.4311710851466
"Grain_Yield","Block+Spatial",0.195288102396034
"Plant_height","Block+Spatial",60.691062738859
"Test_weight","Block+Spatial",98.857710257974
"Grain_Yield","Block+Spatial",14.4810835483385
"Plant_height","Block+Spatial",2.1212429443427
"Test_weight","Block+Spatial",8.2110122986433
"Grain_Yield","Block+Spatial",0.000717961088014363
"Plant_height","Block+Spatial",10.979571198973
"Test_weight","Block+Spatial",0.535581415747004
"Grain_Yield","Block+Spatial",12.5546117732371
"Plant_height","Block+Spatial",27.0697232161698
"Test_weight","Block+Spatial",3.44462320879023
"Grain_Yield","Block+Spatial",3.911836911016
"Plant_height","Block+Spatial",-0.000100822299003767
"Test_weight","Block+Spatial",-1.43255617249199
"Grain_Yield","Block+Spatial",0.0038021492781013
"Plant_height","Block+Spatial",0.0703794253615939
"Test_weight","Block+Spatial",-1.95494840227184e-06
"Grain_Yield","Block+Spatial",10.4103587618862
"Plant_height","Block+Spatial",5.01974703581709e-07
"Test_weight","Block+Spatial",2.70914848492305
"Grain_Yield","Block+Spatial",13.9165847669595
"Plant_height","Block+Spatial",1.16160571357651
"Test_weight","Block+Spatial",3.87017709600639
"Grain_Yield","Block+Spatial",7.88025508445699
"Plant_height","Block+Spatial",-1.95792699742015e-06
"Test_weight","Block+Spatial",8.028534608138
"Grain_Yield","Block+Spatial",3.284552796475
"Plant_height","Block+Spatial",4.54352004908287e-07
"Test_weight","Block+Spatial",2.41272158837501
"Grain_Yield","Block+Spatial",159.950536915562
"Plant_height","Block+Spatial",114.179518054903
"Test_weight","Block+Spatial",75.2594065244253
"Grain_Yield","Block+Spatial",265.585370015901
"Plant_height","Block+Spatial",343.783843893185
"Grain_Yield","Block+Spatial",106.998231045026
"Grain_Yield","Block+Spatial",166.935285713665
"Grain_Yield","Block+Spatial",72.890009482249
"Plant_height","Block+Spatial",55.622797764528
"Test_weight","Block+Spatial",23.4620484051254
"Grain_Yield","Block+Spatial",128.618032630444
"Plant_height","Block+Spatial",11.511994709635
"Test_weight","Block+Spatial",34.1181760982441
"Grain_Yield","Block+Spatial",1.375396299569
"Plant_height","Block+Spatial",0.902991232451001
"Test_weight","Block+Spatial",2.73928553503001
"Grain_Yield","Block+Spatial",0.118460534988998
"Plant_height","Block+Spatial",0.0722191081400041
"Test_weight","Block+Spatial",1.76920328860501
"Grain_Yield","Block+Spatial",10.29150617572
"Plant_height","Block+Spatial",2.704492136569
"Grain_Yield","Block+Spatial",31.984271732532
"Plant_height","Block+Spatial",3.456955695251
"Test_weight","Block+Spatial",20.078905120378
"Grain_Yield","Block+Spatial",28.243488083086
"Plant_height","Block+Spatial",31.988368815637
"Grain_Yield","Block+Spatial",141.278295179845
"Plant_height","Block+Spatial",58.138531703066
"Test_weight","Block+Spatial",25.48329594787
