"location","Trait","AIC","Method"
"CornellMaster_2013_Helfer","Grain_Yield",117.234286267611,"Block+Spatial"
"CornellMaster_2013_Helfer","Plant_height",104.685073815244,"Block+Spatial"
"CornellMaster_2013_Helfer","Test_weight",110.687950630052,"Block+Spatial"
"CornellMaster_2013_Helfer","Powdery_mildew",104.935833820167,"Block+Spatial"
"CornellMaster_2013_Ketola","Grain_Yield",104.393884525156,"Block+Spatial"
"CornellMaster_2013_Ketola","Plant_height",125.198750644278,"Block+Spatial"
"CornellMaster_2013_Ketola","Test_weight",112.844185342558,"Block+Spatial"
"CornellMaster_2013_Ketola","Powdery_mildew",120.965917830678,"Block+Spatial"
"CornellMaster_2013_McGowan","Grain_Yield",321.188416235385,"Block+Spatial"
"CornellMaster_2013_McGowan","Plant_height",307.532484941018,"Block+Spatial"
"CornellMaster_2013_McGowan","Test_weight",307.094832673614,"Block+Spatial"
"CornellMaster_2013_McGowan","Powdery_mildew",310.23262442771,"Block+Spatial"
"CornellMaster_2014_Helfer","Grain_Yield",234.508707083679,"Block+Spatial"
"CornellMaster_2014_Helfer","Plant_height",223.641434897778,"Block+Spatial"
"CornellMaster_2014_Helfer","Test_weight",226.92677794248,"Block+Spatial"
"CornellMaster_2014_Ketola","Grain_Yield",226.92677794248,"Block+Spatial"
"CornellMaster_2014_Ketola","Plant_height",232.420427353125,"Block+Spatial"
"CornellMaster_2014_Ketola","Test_weight",226.876445538421,"Block+Spatial"
"CornellMaster_2014_Snyder","Grain_Yield",234.996339751765,"Block+Spatial"
"CornellMaster_2014_Snyder","Plant_height",228.930433341402,"Block+Spatial"
"CornellMaster_2014_Snyder","Test_weight",224.302962885699,"Block+Spatial"
"CornellMaster_2015_Helfer","Grain_Yield",378.629790799929,"Block+Spatial"
"CornellMaster_2015_Helfer","Plant_height",390.837265012279,"Block+Spatial"
"CornellMaster_2015_Helfer","Test_weight",384.396287250588,"Block+Spatial"
"CornellMaster_2015_Helfer","Powdery_mildew",384.396287250588,"Block+Spatial"
"CornellMaster_2015_Ketola","Grain_Yield",353.351196559189,"Block+Spatial"
"CornellMaster_2015_Ketola","Plant_height",381.869983019817,"Block+Spatial"
"CornellMaster_2015_Ketola","Test_weight",333.351571119863,"Block+Spatial"
"CornellMaster_2015_Ketola","Powdery_mildew",333.351571119863,"Block+Spatial"
"CornellMaster_2015_McGowan","Grain_Yield",386.592700584819,"Block+Spatial"
"CornellMaster_2015_McGowan","Plant_height",395.412368431972,"Block+Spatial"
