"location","Trait","AIC","Method"
"CornellMaster_2013_Helfer","Grain_Yield",117.833083124537,"Block"
"CornellMaster_2013_Helfer","Plant_height",105.008956151491,"Block"
"CornellMaster_2013_Helfer","Test_weight",110.680860149339,"Block"
"CornellMaster_2013_Helfer","Powdery_mildew",104.935827916572,"Block"
"CornellMaster_2013_Ketola","Grain_Yield",105.847506231746,"Block"
"CornellMaster_2013_Ketola","Plant_height",125.272140112487,"Block"
"CornellMaster_2013_Ketola","Test_weight",112.8441420754,"Block"
"CornellMaster_2013_Ketola","Powdery_mildew",122.900235976434,"Block"
"CornellMaster_2013_McGowan","Grain_Yield",327.031524993473,"Block"
"CornellMaster_2013_McGowan","Plant_height",310.260476260609,"Block"
"CornellMaster_2013_McGowan","Test_weight",313.458455673152,"Block"
"CornellMaster_2013_McGowan","Powdery_mildew",312.140969780809,"Block"
"CornellMaster_2014_Helfer","Grain_Yield",312.140969780809,"Block"
"CornellMaster_2014_Helfer","Plant_height",233.407335672434,"Block"
"CornellMaster_2014_Helfer","Test_weight",226.971978634851,"Block"
"CornellMaster_2014_Ketola","Grain_Yield",226.971978634851,"Block"
"CornellMaster_2014_Ketola","Plant_height",226.971978634851,"Block"
"CornellMaster_2014_Ketola","Test_weight",226.983565583973,"Block"
"CornellMaster_2014_Snyder","Grain_Yield",234.996339352492,"Block"
"CornellMaster_2014_Snyder","Plant_height",234.996339352492,"Block"
"CornellMaster_2014_Snyder","Test_weight",224.865794340742,"Block"
"CornellMaster_2015_Helfer","Grain_Yield",400.070850285837,"Block"
"CornellMaster_2015_Helfer","Plant_height",399.359246539196,"Block"
"CornellMaster_2015_Helfer","Test_weight",392.440147817009,"Block"
"CornellMaster_2015_Helfer","Powdery_mildew",392.440147817009,"Block"
"CornellMaster_2015_Ketola","Grain_Yield",386.589111339091,"Block"
"CornellMaster_2015_Ketola","Plant_height",392.296087943551,"Block"
"CornellMaster_2015_Ketola","Test_weight",341.684713025729,"Block"
"CornellMaster_2015_Ketola","Powdery_mildew",341.684713025729,"Block"
"CornellMaster_2015_McGowan","Grain_Yield",425.865821668511,"Block"
"CornellMaster_2015_McGowan","Plant_height",398.463922796112,"Block"
"CornellMaster_2015_McGowan","Test_weight",384.829596964131,"Block"
"CornellMaster_2015_McGowan","Powdery_mildew",395.690023291679,"Block"
"CornellMaster_2016_Helfer","Grain_Yield",395.315857265227,"Block"
"CornellMaster_2016_Helfer","Plant_height",368.29871475795,"Block"
"CornellMaster_2016_Helfer","Test_weight",374.318339582097,"Block"
"CornellMaster_2016_Ketola","Grain_Yield",368.990383710881,"Block"
"CornellMaster_2016_Ketola","Plant_height",376.345840976499,"Block"
"CornellMaster_2016_Ketola","Test_weight",400.135693461841,"Block"
"CornellMaster_2016_Ketola","Powdery_mildew",400.135693461841,"Block"
"CornellMaster_2016_Snyder","Grain_Yield",369.231568217446,"Block"
"CornellMaster_2016_Snyder","Plant_height",399.933316476826,"Block"
"CornellMaster_2016_Snyder","Test_weight",383.067590919272,"Block"
"CornellMaster_2016_Snyder","Powdery_mildew",364.097039681395,"Block"
"CornellMaster_2017_Ketola","Grain_Yield",326.62313073885,"Block"
"CornellMaster_2017_Ketola","Plant_height",352.167515676717,"Block"
"CornellMaster_2017_Ketola","Test_weight",286.0277075183,"Block"
"CornellMaster_2017_Snyder","Grain_Yield",324.359475099864,"Block"
"CornellMaster_2017_Snyder","Plant_height",343.888519912467,"Block"
"CornellMaster_2017_Snyder","Test_weight",337.757969050277,"Block"
"CornellMaster_2017_Snyder","Powdery_mildew",331.34325779672,"Block"
"GP502_2022","Grain_Yield",481.677779689087,"Block"
"GP502_2022","Plant_height",397.654910277184,"Block"
"GP502_2022","Test_weight",363.071209907475,"Block"
"SW_AMPanel_2014_Obregon_Dry","Grain_Yield",244.667454673006,"Block"
"SW_AMPanel_2014_Obregon_Dry","Plant_height",231.455995432677,"Block"
"SW_AMPanel_2014_Obregon_Irr","Grain_Yield",252.473964723094,"Block"
"SW_AMPanel_2014_Obregon_Irr","Plant_height",242.855195119557,"Block"
"SW-AMPanel_2014_Davis_Dry","Grain_Yield",289.942200335823,"Block"
"SW-AMPanel_2014_Davis_Dry","Plant_height",108.178858964337,"Block"
"SW-AMPanel_2014_Davis_Dry","Strip_rust_resp",237.953938186795,"Block"
"SW-AMPanel_2014_Davis_Dry","Strip_rust_sever",242.441610924123,"Block"
"SW-AMPanel_2014_Davis_Irr","Grain_Yield",252.4617851869,"Block"
"SW-AMPanel_2014_Davis_Irr","Plant_height",130.932223239251,"Block"
"SW-AMPanel_2014_Davis_Irr","Strip_rust_resp",197.618948809778,"Block"
"SW-AMPanel_2014_Davis_Irr","Strip_rust_sever",212.900035765023,"Block"
"SW-AMPanel_2014_Imperial_Dry","Grain_Yield",261.063477487095,"Block"
"SW-AMPanel_2014_Imperial_Dry","Plant_height",201.950825010762,"Block"
"SW-AMPanel_2014_Imperial_Irr","Grain_Yield",230.139407318789,"Block"
"SW-AMPanel_2014_Imperial_Irr","Plant_height",208.991660916165,"Block"
"TP_2018_Frankenmuth","Grain_Yield",83.6484364858591,"Block"
"TP_2018_Frankenmuth","Test_weight",177.050063844898,"Block"
"TP_2018_Mason","Grain_Yield",-385.866812207616,"Block"
"TP_2018_Mason","Test_weight",187.545077126427,"Block"
"TP_2019_Frankenmuth","Grain_Yield",68.7338959423335,"Block"
"TP_2019_Frankenmuth","Test_weight",295.374237522008,"Block"
"TP_2019_Mason","Grain_Yield",77.5772141396364,"Block"
"TP_2019_Mason","Test_weight",274.260875790728,"Block"
"TP_2020_Frankenmuth","Grain_Yield",165.445976349545,"Block"
"TP_2020_Frankenmuth","Test_weight",135.969908983908,"Block"
"TP_2020_Mason","Grain_Yield",201.053403540934,"Block"
"TP_2020_Mason","Test_weight",217.565416934887,"Block"
"YldQtl-Val_2014_ClayCenter","Grain_Yield",230.514113552849,"Block"
"YldQtl-Val_2014_ClayCenter","Plant_height",266.556422017774,"Block"
