location,Trait,W_m_w_sp_AIC,W_m_wo_sp_AIC,Wo_m_w_sp_AIC,Wo_m_wo_sp_AIC,W_m_w_sp_RMSE,W_m_wo_sp_RMSE,Wo_m_w_sp_RMSE,Wo_m_wo_sp_RMSE,W_m_w_sp_MAE,W_m_wo_sp_MAE,Wo_m_w_sp_MAE,Wo_m_wo_sp_MAE
ABBmid_2014_Blacksburg,Grain_Yield,164.83,231.6,166.65,232.95,148.49,258.85,133.41,239.9,118.15,199.28,110.09,191.71
ABBmid_2014_Blacksburg,Plant_height,113.03,166.47,133.76,198.89,1.26,1.97,1.12,1.88,0.99,1.56,0.89,1.51
ABBmid_2014_Blacksburg,Test_weight,-136.35,-103.24,-95.12,-62.14,1.5,2.17,1.5,2.15,1.22,1.77,1.21,1.74
ABBmid_2014_Lexington,Grain_Yield,141.62,141.77,144.04,144.05,812.12,814.25,837.93,837.92,581.28,583.11,604.85,604.84
ABBmid_2014_Lexington,Plant_height,110.04,111.82,111.94,114.57,2.88,3.16,2.01,2.32,2.23,2.46,1.55,1.78
ABBmid_2014_Lexington,Test_weight,101.51,105.39,108.15,112.74,0.55,3.99,0,3.84,0.4,2.95,0,2.83
ABBmid_2014_Warsaw,Grain_Yield,194.85,312,199.89,321.5,146.79,307.48,137.86,303.63,112.45,240.95,106.24,238.64
ABBmid_2014_Warsaw,Plant_height,171.33,181.79,195.35,206.4,1.67,1.93,1.54,1.82,1.31,1.53,1.22,1.46
ABBmid_2014_Warsaw,Test_weight,63.67,85.9,64.29,91.38,2.13,2.93,1.93,2.72,1.68,2.26,1.57,2.19
ABBmid_2014_Woodford,Grain_Yield,135.05,135.04,140.3,140.42,822.9,821.92,768.43,746.7,633.69,632.89,604.53,58
ABBmid_2014_Woodford,Plant_height,118.45,118.45,125.48,125.59,3.02,3.02,3.17,3.3,2.39,2.39,2.44,2.55
ABBmid_2014_Woodford,Test_weight,122.76,123.27,130.46,132.52,12.85,13.92,12.2,14.18,10.42,11.33,9.8,11.45
CSR-Val_2015_Mead,Grain_Yield,93.62,218.29,101.02,230.86,212,321.04,211.77,319.52,156.15,249.73,155.97,248.32
CSR-Val_2015_Mead,Plant_height,274.94,339.97,270.07,337.61,5.21,6.77,5.11,6.6,2.95,4.07,2.9,4.02
CSR-Val_2015_Mead,Test_weight,-67.28,23.34,-46.22,54.62,8.65,12.16,8.65,12.21,6.79,9.46,6.78,9.54
HWWpanel_2012_Mead,Grain_Yield,460.07,728.32,524.59,818.2,350.99,452.66,345.83,442.32,269.93,354.31,265.15,346.09
HWWpanel_2012_Mead,Plant_height,-428.98,-105.04,-331.18,22.08,3,4.02,2.95,3.94,2.34,3.18,2.32,3.14
HWWpanel_2012_Tipton,Grain_Yield,319.84,418.63,415.81,524.96,232.34,313.77,208.93,285.72,177.46,242.53,159.03,222.01
HWWpanel_2013_Tipton,Grain_Yield,314.99,507.56,371.69,555.85,125.1,215.79,123.55,198.97,95.89,161.85,93.28,149.9
YldQtl-Val_2014_ClayCenter,Grain_Yield,143.64,163.23,164.2,193.08,237.73,312.9,209.23,266.77,177.39,232.3,154.47,200.74
YldQtl-Val_2014_ClayCenter,Plant_height,152.86,165.48,213.9,220.33,2.09,2.53,2.05,2.31,1.69,2.05,1.65,1.83
YldQtl-Val_2014_Lincoln,Grain_Yield,210.94,242.59,316.46,364.76,273.22,380.11,245.84,346.72,212.68,283.76,195.51,267.43
YldQtl-Val_2014_Lincoln,Plant_height,196.45,197.62,255.74,267.06,3.24,3.5,2.69,3.25,2.53,2.73,2.11,2.53
YldQtl-Val_2014_Lincoln,Test_weight,110.27,130.3,197.83,227.02,6.87,9.72,6.66,8.86,4.98,7.21,4.84,6.4
YldQtl-Val_2014_Mead,Grain_Yield,140.77,154.51,221.78,250.34,53.23,65.95,53.11,64.17,41.55,51.91,41.89,50.62
YldQtl-Val_2014_Mead,Plant_height,98.48,111.62,141.29,167.23,3.02,3.66,2.65,3.38,2.39,2.88,2.06,2.62
YldQtl-Val_2014_Sidney,Grain_Yield,30.16,128.58,110.48,268.89,225.66,496.53,213.77,454.16,177.59,398.62,171,362.72
YldQtl-Val_2014_Sidney,Plant_height,135.6,200.06,196.56,272.69,2.18,4.21,2.17,3.74,1.67,3.28,1.7,2.9
YldQtl-Val_2014_Sidney,Test_weight,200.13,229.68,307.29,372.86,14.37,19.39,14.08,18.63,11.72,15.44,11.23,14.71
