Method,location,Trait,heritability
W_m_w_sp,HWWpanel_2013_Tipton,Grain_Yield,0.519
W_m_w_sp,HWWpanel_2012_Tipton,Grain_Yield,0.429
W_m_w_sp,HWWpanel_2012_Mead,Plant_height,0.88
W_m_w_sp,HWWpanel_2012_Mead,Grain_Yield,0.59
W_m_w_sp,CSR-Val_2015_Mead,Test_weight,0.863
W_m_w_sp,CSR-Val_2015_Mead,Plant_height,0.667
W_m_w_sp,CSR-Val_2015_Mead,Grain_Yield,0.756
W_m_w_sp,ABBmid_2014_Lexington,Test_weight,0.963
W_m_w_sp,ABBmid_2014_Lexington,Plant_height,0.293
W_m_w_sp,ABBmid_2014_Lexington,Grain_Yield,0.122
W_m_w_sp,ABBmid_2014_Woodford,Test_weight,0.396
W_m_w_sp,ABBmid_2014_Woodford,Plant_height,0.299
W_m_w_sp,ABBmid_2014_Woodford,Grain_Yield,0.261
W_m_w_sp,ABBmid_2014_Blacksburg,Test_weight,0.969
W_m_w_sp,ABBmid_2014_Blacksburg,Plant_height,0.857
W_m_w_sp,ABBmid_2014_Blacksburg,Grain_Yield,0.768
W_m_w_sp,ABBmid_2014_Warsaw,Test_weight,0.917
W_m_w_sp,ABBmid_2014_Warsaw,Plant_height,0.77
W_m_w_sp,ABBmid_2014_Warsaw,Grain_Yield,0.67
W_m_w_sp,YldQtl-Val_2014_ClayCenter,Plant_height,0.817
W_m_w_sp,YldQtl-Val_2014_ClayCenter,Grain_Yield,0.726
W_m_w_sp,YldQtl-Val_2014_Lincoln,Test_weight,0.882
W_m_w_sp,YldQtl-Val_2014_Lincoln,Plant_height,0.714
W_m_w_sp,YldQtl-Val_2014_Lincoln,Grain_Yield,0.678
W_m_w_sp,YldQtl-Val_2014_Mead,Plant_height,0.623
W_m_w_sp,YldQtl-Val_2014_Mead,Grain_Yield,0.83
W_m_w_sp,YldQtl-Val_2014_Sidney,Test_weight,0.556
W_m_w_sp,YldQtl-Val_2014_Sidney,Plant_height,0.835
W_m_w_sp,YldQtl-Val_2014_Sidney,Grain_Yield,0.814
W_m_wo_sp,HWWpanel_2013_Tipton,Grain_Yield,0.296
W_m_wo_sp,HWWpanel_2012_Tipton,Grain_Yield,0.316
W_m_wo_sp,HWWpanel_2012_Mead,Plant_height,0.814
W_m_wo_sp,HWWpanel_2012_Mead,Grain_Yield,0.476
W_m_wo_sp,CSR-Val_2015_Mead,Test_weight,0.791
W_m_wo_sp,CSR-Val_2015_Mead,Plant_height,0.56
W_m_wo_sp,CSR-Val_2015_Mead,Grain_Yield,0.598
W_m_wo_sp,ABBmid_2014_Lexington,Test_weight,0.752
W_m_wo_sp,ABBmid_2014_Lexington,Plant_height,0.294
W_m_wo_sp,ABBmid_2014_Lexington,Grain_Yield,0.123
W_m_wo_sp,ABBmid_2014_Woodford,Test_weight,0.381
W_m_wo_sp,ABBmid_2014_Woodford,Plant_height,0.299
W_m_wo_sp,ABBmid_2014_Woodford,Grain_Yield,0.262
W_m_wo_sp,ABBmid_2014_Blacksburg,Test_weight,0.951
W_m_wo_sp,ABBmid_2014_Blacksburg,Plant_height,0.759
W_m_wo_sp,ABBmid_2014_Blacksburg,Grain_Yield,0.628
W_m_wo_sp,ABBmid_2014_Warsaw,Test_weight,0.877
W_m_wo_sp,ABBmid_2014_Warsaw,Plant_height,0.754
W_m_wo_sp,ABBmid_2014_Warsaw,Grain_Yield,0.381
W_m_wo_sp,YldQtl-Val_2014_ClayCenter,Plant_height,0.785
W_m_wo_sp,YldQtl-Val_2014_ClayCenter,Grain_Yield,0.632
W_m_wo_sp,YldQtl-Val_2014_Lincoln,Test_weight,0.831
W_m_wo_sp,YldQtl-Val_2014_Lincoln,Plant_height,0.691
W_m_wo_sp,YldQtl-Val_2014_Lincoln,Grain_Yield,0.587
W_m_wo_sp,YldQtl-Val_2014_Mead,Plant_height,0.567
W_m_wo_sp,YldQtl-Val_2014_Mead,Grain_Yield,0.792
W_m_wo_sp,YldQtl-Val_2014_Sidney,Test_weight,0.454
W_m_wo_sp,YldQtl-Val_2014_Sidney,Plant_height,0.596
W_m_wo_sp,YldQtl-Val_2014_Sidney,Grain_Yield,0.513
Wo_m_w_sp,HWWpanel_2013_Tipton,Grain_Yield,0.604
Wo_m_w_sp,HWWpanel_2012_Tipton,Grain_Yield,0.62
Wo_m_w_sp,HWWpanel_2012_Mead,Plant_height,0.934
Wo_m_w_sp,HWWpanel_2012_Mead,Grain_Yield,0.682
Wo_m_w_sp,CSR-Val_2015_Mead,Test_weight,0.911
Wo_m_w_sp,CSR-Val_2015_Mead,Plant_height,0.764
Wo_m_w_sp,CSR-Val_2015_Mead,Grain_Yield,0.823
Wo_m_w_sp,ABBmid_2014_Lexington,Test_weight,1
Wo_m_w_sp,ABBmid_2014_Lexington,Plant_height,0.613
Wo_m_w_sp,ABBmid_2014_Lexington,Grain_Yield,0
Wo_m_w_sp,ABBmid_2014_Woodford,Test_weight,0.559
Wo_m_w_sp,ABBmid_2014_Woodford,Plant_height,0.395
Wo_m_w_sp,ABBmid_2014_Woodford,Grain_Yield,0.45
Wo_m_w_sp,ABBmid_2014_Blacksburg,Test_weight,0.985
Wo_m_w_sp,ABBmid_2014_Blacksburg,Plant_height,0.938
Wo_m_w_sp,ABBmid_2014_Blacksburg,Grain_Yield,0.883
Wo_m_w_sp,ABBmid_2014_Warsaw,Test_weight,0.96
Wo_m_w_sp,ABBmid_2014_Warsaw,Plant_height,0.886
Wo_m_w_sp,ABBmid_2014_Warsaw,Grain_Yield,0.805
Wo_m_w_sp,YldQtl-Val_2014_ClayCenter,Plant_height,0.897
Wo_m_w_sp,YldQtl-Val_2014_ClayCenter,Grain_Yield,0.838
Wo_m_w_sp,YldQtl-Val_2014_Lincoln,Test_weight,0.901
Wo_m_w_sp,YldQtl-Val_2014_Lincoln,Plant_height,0.87
Wo_m_w_sp,YldQtl-Val_2014_Lincoln,Grain_Yield,0.758
Wo_m_w_sp,YldQtl-Val_2014_Mead,Plant_height,0.842
Wo_m_w_sp,YldQtl-Val_2014_Mead,Grain_Yield,0.833
Wo_m_w_sp,YldQtl-Val_2014_Sidney,Test_weight,0.625
Wo_m_w_sp,YldQtl-Val_2014_Sidney,Plant_height,0.901
Wo_m_w_sp,YldQtl-Val_2014_Sidney,Grain_Yield,0.847
Wo_m_wo_sp,HWWpanel_2013_Tipton,Grain_Yield,0.444
Wo_m_wo_sp,HWWpanel_2012_Tipton,Grain_Yield,0.516
Wo_m_wo_sp,HWWpanel_2012_Mead,Plant_height,0.897
Wo_m_wo_sp,HWWpanel_2012_Mead,Grain_Yield,0.598
Wo_m_wo_sp,CSR-Val_2015_Mead,Test_weight,0.862
Wo_m_wo_sp,CSR-Val_2015_Mead,Plant_height,0.683
Wo_m_wo_sp,CSR-Val_2015_Mead,Grain_Yield,0.697
Wo_m_wo_sp,ABBmid_2014_Lexington,Test_weight,0.857
Wo_m_wo_sp,ABBmid_2014_Lexington,Plant_height,0.609
Wo_m_wo_sp,ABBmid_2014_Lexington,Grain_Yield,0
Wo_m_wo_sp,ABBmid_2014_Woodford,Test_weight,0.533
Wo_m_wo_sp,ABBmid_2014_Woodford,Plant_height,0.382
Wo_m_wo_sp,ABBmid_2014_Woodford,Grain_Yield,0.47
Wo_m_wo_sp,ABBmid_2014_Blacksburg,Test_weight,0.976
Wo_m_wo_sp,ABBmid_2014_Blacksburg,Plant_height,0.879
Wo_m_wo_sp,ABBmid_2014_Blacksburg,Grain_Yield,0.787
Wo_m_wo_sp,ABBmid_2014_Warsaw,Test_weight,0.939
Wo_m_wo_sp,ABBmid_2014_Warsaw,Plant_height,0.871
Wo_m_wo_sp,ABBmid_2014_Warsaw,Grain_Yield,0.532
Wo_m_wo_sp,YldQtl-Val_2014_ClayCenter,Plant_height,0.887
Wo_m_wo_sp,YldQtl-Val_2014_ClayCenter,Grain_Yield,0.804
Wo_m_wo_sp,YldQtl-Val_2014_Lincoln,Test_weight,0.878
Wo_m_wo_sp,YldQtl-Val_2014_Lincoln,Plant_height,0.855
Wo_m_wo_sp,YldQtl-Val_2014_Lincoln,Grain_Yield,0.695
Wo_m_wo_sp,YldQtl-Val_2014_Mead,Plant_height,0.816
Wo_m_wo_sp,YldQtl-Val_2014_Mead,Grain_Yield,0.828
Wo_m_wo_sp,YldQtl-Val_2014_Sidney,Test_weight,0.622
