location,method,Trait,gen.var,error.var,phen.var,h2std,H2.Estimate,H2.SE,H2Cullis,Reptability
2022SWCIMMYT_EDPIE,Block,Test_weight,270.882,137.087,339.425,0.798,0.663976703,0.046521995,0.893660635,0.78732127
2022SWCIMMYT_EDPIE,Block+Spatial,Test_weight,272.182,117.775,331.069,0.822,0.738070872,0.130833146,0.897237388,0.794474776
2022SWCIMMYT_EDPIE,Block,Plant_height,1.955,1.223,2.566,0.762,0.615124005,0.051856728,0.875047917,0.750095835
2022SWCIMMYT_EDPIE,Block+Spatial,Plant_height,1.929,1.144,2.501,0.771,0.808393766,0.168195785,0.87413748,0.748274959
2022SWCIMMYT_EDPIE,Block,Grain_Yield,17222.677,17026.804,25736.079,0.669,0.502859498,0.062688203,0.827787307,0.655574614
2022SWCIMMYT_EDPIE,Block+Spatial,Grain_Yield,16462.508,13480.406,23202.711,0.71,0.451811803,0.117428294,0.830455195,0.660910391
2022WWALOI,Block,Test_weight,456.416,63.558,477.602,0.956,0.877766841,0.031490169,0.964630832,0.929261664
2022WWALOI,Block+Spatial,Test_weight,434.195,16.971,439.852,0.987,0.656214143,0.092909927,0.969831506,0.939663011
2022WWALOI,Block,Plant_height,4.007,6.693,6.238,0.642,0.374478159,0.102702401,0.809764646,0.619529291
2022WWALOI,Block+Spatial,Plant_height,4.171,5.399,5.971,0.699,0.426253178,0.278699947,0.818358458,0.636716915
2022WWALOI,Block,Grain_Yield,85580.524,62232.04,106324.537,0.805,0.57898004,0.085961996,0.887199688,0.774399375
2022WWALOI,Block+Spatial,Grain_Yield,75151.193,22363.437,82605.672,0.91,0.259560795,0.087686084,0.892903788,0.785807576
2022WWCKVD,Block,Test_weight,281.235,96.362,313.355,0.897,0.74480239,0.062811845,0.934500881,0.869001761
2022WWCKVD,Block+Spatial,Test_weight,292.473,50.73,309.383,0.945,0.578255738,0.123248823,0.94494958,0.88989916
2022WWCKVD,Block,Plant_height,4.029,1.773,4.62,0.872,0.694450614,0.07297564,0.919690002,0.839380005
2022WWCKVD,Block+Spatial,Plant_height,4.114,0.967,4.436,0.927,0.505865508,0.132206252,0.929393769,0.858787538
2022WWCKVD,Block,Grain_Yield,15117.706,47375.469,30909.529,0.489,0.241909713,0.114182587,0.730534668,0.461069337
2022WWCKVD,Block+Spatial,Grain_Yield,16575.366,26479.156,25401.752,0.653,0.155056343,0.083442582,0.766699379,0.533398758
2022WWPBCD,Block,Test_weight,539.844,181.523,630.605,0.856,0.748361898,0.045783404,0.920788834,0.841577668
2022WWPBCD,Block+Spatial,Test_weight,530.428,67.515,564.185,0.94,0.526161105,0.087375435,0.944863451,0.889726902
2022WWPBCD,Block,Plant_height,1.547,1.351,2.222,0.696,0.533899688,0.074866706,0.839777994,0.679555988
2022WWPBCD,Block+Spatial,Plant_height,1.311,0.807,1.714,0.765,0.261525808,0.075479042,0.837056989,0.674113977
2022WWPBCD,Block,Grain_Yield,28240.276,93466.886,74973.719,0.377,0.232034628,0.09968127,0.68180294,0.363605881
2022WWPBCD,Block+Spatial,Grain_Yield,28149.813,56263.56,56281.593,0.5,0.128695793,0.058358602,0.706060148,0.412120297
AYN_2021_FC,Block,Test_weight,0.446,2.573,3.019,0.148,0.147802781,0.128183724,0.584689215,0.169378429
AYN_2021_FC,Block+Spatial,Test_weight,0.407,1.555,1.962,0.208,0.072042502,0.053740566,0.597595764,0.195191527
AYN_2021_FC,Block,Plant_height,102.201,858.659,960.86,0.106,0.106363628,0.127796394,0.562221134,0.124442269
AYN_2021_FC,Block+Spatial,Plant_height,117.281,820.879,938.16,0.125,0.492542687,0.517768267,0.571145755,0.142291509
AYN_2021_FC,Block,Grain_Yield,14.034,75.036,89.07,0.158,0.157557981,0.127952683,0.589988479,0.179976958
AYN_2021_FC,Block+Spatial,Grain_Yield,18.732,42.604,61.336,0.305,0.134594486,0.0676346,0.643979718,0.287959436
AYN_2021_Jules,Block,Test_weight,0.623,1.484,2.108,0.296,0.295668911,0.118873659,0.66268721,0.32537442
AYN_2021_Jules,Block+Spatial,Test_weight,0.624,0.848,1.472,0.424,0.158079307,0.059255082,0.693734883,0.387469766
AYN_2021_Jules,Block,Plant_height,7.624,10.872,18.496,0.412,0.412204721,0.104643441,0.723836808,0.447673617
AYN_2021_Jules,Block+Spatial,Plant_height,7.624,10.872,18.496,0.412,1,0.435998411,0.723836839,0.447673678
AYN_2021_Jules,Block,Grain_Yield,12.014,17.807,29.821,0.403,0.402877866,0.107544242,0.716822616,0.433645232
AYN_2021_Jules,Block+Spatial,Grain_Yield,10.343,8.297,18.64,0.555,0.174530389,0.051626413,0.747443502,0.494887004
AYND1_2021_FC,Block,Test_weight,0.211,3.384,3.595,0.059,0.058678088,0.129602702,0.534540688,0.069081376
AYND1_2021_FC,Block+Spatial,Test_weight,1.67,0.674,2.344,0.712,0.171459847,0.042404775,0.805109869,0.610219739
AYND1_2021_FC,Block,Plant_height,384.72,334.351,719.071,0.535,0.535024252,0.089978818,0.78187539,0.563750779
AYND1_2021_FC,Block+Spatial,Plant_height,387.644,311.487,699.131,0.554,0.783379288,0.234052715,0.78444487,0.568889739
AYND1_2021_FC,Block,Grain_Yield,0,190.099,190.099,0,0,0.126889391,NA,NA
AYND1_2021_FC,Block+Spatial,Grain_Yield,28.789,40.769,69.558,0.414,0.037320335,0.016678319,0.665189938,0.330379877
AYND1_2021_Jules,Block,Test_weight,1.09,0.731,1.822,0.599,0.598557808,0.079833144,0.809275403,0.618550806
AYND1_2021_Jules,Block+Spatial,Test_weight,1.14,0.349,1.489,0.766,0.37886048,0.082630582,0.849926564,0.699853127
AYND1_2021_Jules,Block,Plant_height,17.635,10.76,28.395,0.621,0.621060463,0.074237062,0.823137848,0.646275696
AYND1_2021_Jules,Block+Spatial,Plant_height,17.602,10.851,28.454,0.619,1.017687618,0.259488305,0.822706819,0.645413639
AYND1_2021_Jules,Block,Grain_Yield,8.568,18.859,27.427,0.312,0.312386232,0.118469975,0.67026564,0.34053128
AYND1_2021_Jules,Block+Spatial,Grain_Yield,9.869,13.065,22.934,0.43,0.276324819,0.099655552,0.70534258,0.410685161
GP502_2022,Block,Test_weight,210.501,111.421,266.212,0.791,0.653887639,0.036432183,0.892884068,0.785768136
GP502_2022,Block+Spatial,Test_weight,210.572,53.215,237.179,0.888,0.43287919,0.060664366,0.928417725,0.85683545
GP502_2022,Block,Plant_height,50.678,28.066,64.711,0.783,0.643582448,0.037281622,0.889199083,0.778398166
GP502_2022,Block+Spatial,Plant_height,52.586,14.978,60.075,0.875,0.466154681,0.06537909,0.922309779,0.844619558
GP502_2022,Block,Grain_Yield,66912.784,661359.451,397592.51,0.168,0.091878807,0.062872287,0.583322101,0.166644202
GP502_2022,Block+Spatial,Grain_Yield,65845.051,650162.996,390926.549,0.168,0.497400301,0.399734444,0.582245113,0.164490226
GulfAtlantic_2022_WARVA,Block,Test_weight,278.485,25.903,291.436,0.956,0.914900162,0.021275168,0.969486576,0.938973153
GulfAtlantic_2022_WARVA,Block+Spatial,Test_weight,278.147,15.128,285.711,0.974,0.819145805,0.078545184,0.973817984,0.947635968
GulfAtlantic_2022_WARVA,Block,Plant_height,10.601,8.747,14.975,0.708,0.547935778,0.092320276,0.843090494,0.686180989
GulfAtlantic_2022_WARVA,Block+Spatial,Plant_height,10.907,7.596,14.706,0.742,0.633710184,0.246123433,0.850108203,0.700216405
GulfAtlantic_2022_WARVA,Block,Grain_Yield,410869.46,48555.974,435147.447,0.944,0.894311523,0.026299363,0.962519827,0.925039654
GulfAtlantic_2022_WARVA,Block+Spatial,Grain_Yield,363734.127,23783.527,375625.89,0.968,0.627449117,0.103018616,0.966917853,0.933835705
HRWElite_2022_BLAVA,Block,Test_weight,187.663,141.174,234.721,0.8,0.570686221,0.060955179,0.892895729,0.785791458
HRWElite_2022_BLAVA,Block+Spatial,Test_weight,187.952,130.091,231.316,0.813,0.756674321,0.189210548,0.893951471,0.787902942
HRWElite_2022_BLAVA,Block,Plant_height,48.118,20.646,55,0.875,0.699756572,0.047749636,0.930376233,0.860752467
HRWElite_2022_BLAVA,Block+Spatial,Plant_height,48.146,13.181,52.54,0.916,0.507242015,0.090930167,0.938756503,0.877513006
HRWElite_2022_BLAVA,Block,Grain_Yield,153326.956,158896.538,206292.469,0.743,0.491080777,0.067043794,0.864418211,0.728836423
HRWElite_2022_BLAVA,Block+Spatial,Grain_Yield,154037.867,154580.407,205564.669,0.749,0.881764672,0.29938287,0.865220223,0.730440446
HRWElite_2022_WARVA,Block,Test_weight,198.603,30.238,208.682,0.952,0.867863951,0.024027299,0.968470733,0.936941465
HRWElite_2022_WARVA,Block+Spatial,Test_weight,197.019,25.986,205.681,0.958,0.896477816,0.066629462,0.969019808,0.938039615
HRWElite_2022_WARVA,Block,Plant_height,37.684,6.246,39.766,0.948,0.857813177,0.025681273,0.966237218,0.932474435
HRWElite_2022_WARVA,Block+Spatial,Plant_height,37.533,3.219,38.606,0.972,0.708255907,0.070501789,0.972983887,0.945967774
HRWElite_2022_WARVA,Block,Grain_Yield,288845.116,56543.062,307692.803,0.939,0.836291263,0.029148851,0.96156674,0.92313348
HRWElite_2022_WARVA,Block+Spatial,Grain_Yield,283280.601,38961.911,296267.905,0.956,0.758256304,0.079497553,0.96490717,0.92981434
HRWObs_2022_BLAVA,Block,Test_weight,297.821,6.394,304.215,0.979,0.978981308,0.019870377,0.98398712,0.96797424
HRWObs_2022_BLAVA,Block+Spatial,Test_weight,271.276,12.382,283.658,0.956,1,0.283384216,0.972842278,0.945684555
HRWObs_2022_BLAVA,Block,Plant_height,30.665,10.639,41.304,0.742,0.742425918,0.171051752,0.864590659,0.729181318
HRWObs_2022_BLAVA,Block+Spatial,Plant_height,26.787,10.354,37.141,0.721,0.607869893,0.239227743,0.826287436,0.652574871
HRWObs_2022_BLAVA,Block,Grain_Yield,265607.618,68621.355,334228.973,0.795,0.794687593,0.133335885,0.890493343,0.780986686
HRWObs_2022_BLAVA,Block+Spatial,Grain_Yield,192336.008,116367.544,308703.552,0.623,0.773879786,0.397266279,0.795141111,0.590282221
HRWPrelim_2022_BLAVA,Block,Test_weight,344.827,133.852,411.752,0.837,0.720372558,0.062529919,0.910409419,0.820818838
HRWPrelim_2022_BLAVA,Block+Spatial,Test_weight,345.435,131.772,411.321,0.84,0.972298792,0.25870826,0.910621433,0.821242867
HRWPrelim_2022_BLAVA,Block,Plant_height,29.634,16.729,37.999,0.78,0.63917431,0.077350387,0.880323101,0.760646202
HRWPrelim_2022_BLAVA,Block+Spatial,Plant_height,29.302,15.95,37.277,0.786,0.870753938,0.314305371,0.879169716,0.758339433
HRWPrelim_2022_BLAVA,Block,Grain_Yield,199387.347,123500.862,261137.779,0.764,0.61751201,0.079649671,0.875609044,0.751218087
HRWPrelim_2022_BLAVA,Block+Spatial,Grain_Yield,196105.743,116595.677,254403.581,0.771,0.851538539,0.314811449,0.87402071,0.74804142
Org_Dan_21,Block,Test_weight,1059.127,48.068,1075.149,0.985,0.956585358,0.010304254,0.982737227,0.965474455
Org_Dan_21,Block+Spatial,Test_weight,1057.327,39.684,1070.555,0.988,0.963803256,0.031118224,0.982940721,0.965881441
Org_Dan_21,Block,Plant_height,24.48,4.695,26.045,0.94,0.839088058,0.035063147,0.961239765,0.922479529
Org_Dan_21,Block+Spatial,Plant_height,24.39,2.094,25.088,0.972,0.670486919,0.086432224,0.968051747,0.936103493
Org_Dan_21,Block,Grain_Yield,114764.208,181149.41,175147.344,0.655,0.387830098,0.086150105,0.828123485,0.656246971
Org_Dan_21,Block+Spatial,Grain_Yield,81932.798,104693.661,116830.685,0.701,0.170532589,0.068205292,0.807011238,0.614022475
Pr_Neo_21,Block,Test_weight,159.518,26.261,164.77,0.968,0.858642233,0.022458111,0.937025009,0.874050018
Pr_Neo_21,Block+Spatial,Test_weight,167.811,9.817,169.774,0.988,0.686697477,0.063602007,0.961846635,0.923693271
Pr_Neo_21,Block,Plant_height,9.727,20.001,13.727,0.709,0.327201728,0.085813597,0.689809549,0.379619098
Pr_Neo_21,Block+Spatial,Plant_height,9.641,19.463,13.533,0.712,0.765754422,0.275448276,0.68891116,0.377822321
Pr_Neo_21,Block,Grain_Yield,87577.299,194920.584,126561.416,0.692,0.310010462,0.088183384,0.678932304,0.357864608
Pr_Neo_21,Block+Spatial,Grain_Yield,87576.913,194920.758,126561.064,0.692,1,0.428149187,0.678931678,0.357863355
Pr_Urb_21,Block,Test_weight,212.598,88.169,256.682,0.828,0.706852789,0.028458364,0.91168552,0.82337104
Pr_Urb_21,Block+Spatial,Test_weight,213.288,72.815,249.695,0.854,0.754127986,0.073292521,0.919334862,0.838669725
Pr_Urb_21,Block,Plant_height,15.885,10.603,21.187,0.75,0.599701496,0.036520698,0.87179063,0.743581261
Pr_Urb_21,Block+Spatial,Plant_height,15.462,8.669,19.797,0.781,0.537546925,0.082665324,0.878568377,0.757136754
Pr_Urb_21,Block,Grain_Yield,45041.315,234900.681,162491.655,0.277,0.160895169,0.055669457,0.636685529,0.273371057
Pr_Urb_21,Block+Spatial,Grain_Yield,49438.295,199845.264,149360.927,0.331,0.212799707,0.076651136,0.656041622,0.312083245
UCD22010,Block,Test_weight,1.175,0.509,1.26,0.933,0.697799688,0.071699635,0.946964989,0.893929978
UCD22010,Block+Spatial,Test_weight,1.187,0.415,1.257,0.945,0.733360008,0.155237644,0.948787469,0.897574938
UCD22010,Block,Plant_height,39.531,5.008,40.365,0.979,0.887562487,0.032284512,0.969752591,0.939505182
UCD22010,Block+Spatial,Plant_height,39.531,5.008,40.366,0.979,1,0.066433937,0.969752631,0.939505261
UCD22010,Block,Grain_Yield,676847.511,145604.984,701115.009,0.965,0.822962438,0.047835618,0.962859893,0.925719787
UCD22010,Block+Spatial,Grain_Yield,686372.173,93807.947,702006.831,0.978,0.740718378,0.102482867,0.965262749,0.930525497
UCD22210,Block,Test_weight,2.052,0.124,2.073,0.99,0.943114377,0.017143203,0.975171387,0.950342775
UCD22210,Block+Spatial,Test_weight,2.036,0.098,2.053,0.992,0.947125007,0.038208682,0.975414105,0.950828209
UCD22210,Block,Plant_height,9.332,5.452,10.241,0.911,0.631200439,0.080967239,0.936596102,0.873192203
UCD22210,Block+Spatial,Plant_height,9.363,4.531,10.118,0.925,0.675330291,0.186644101,0.937977753,0.875955506
UCD22210,Block,Grain_Yield,605350.981,428427.004,676755.482,0.894,0.585571554,0.085954386,0.928476456,0.856952911
